"Valor","Nome do anunciante","Nome do veículo","Modelo","Ano/Modelo","KM","Tipo de combustivel","Tipo de transmissao","cidade"
"R$ 39.900,00","Auto Nível Veículos","Volkswagen Gol","ECOMOTION 1.0 Mi Total  8V 4p","2011/2012","18.000km","Bi-Combustível","Manual","Conselheiro Lafaiete"
"R$ 112.900,00","Auto Nível Veículos","Honda Civic","2.0 Sport 2.0  Automático 2020","2020/2020","94.000km","Bi-Combustível","Automático","Conselheiro Lafaiete"
"R$ 131.900,00","Auto Nível Veículos","Toyota Corolla","XEi 2.0  16V Aut.","2022/2023","41.000km","Bi-Combustível","Automático","Conselheiro Lafaiete"
"R$ 129.900,00","Auto Nível Veículos","Fiat Strada Cab Dupla","1.3 Volcano Tributo 125 CD 1.3  Automático 2025","2024/2025","9.000km","Bi-Combustível","Automático","Conselheiro Lafaiete"
"R$ 119.900,00","Auto Nível Veículos","Jeep Renegade","1.3 Sport T270 1.3  Automático 2024","2023/2024","8.000km","Bi-Combustível","Automático","Conselheiro Lafaiete"
"R$ 68.900,00","Auto Lafaiete","Chevrolet Onix Hatch","1.0 LT 1.0 TURBO","2020/2021","29.000km","Bi-Combustível","Manual","Conselheiro Lafaiete"
"R$ 113.900,00","Auto Nível Veículos","Jeep Renegade","Trailhawk 2.0 4x4 TB Diesel Aut","2021/2021","59.000km","Diesel","Automático","Conselheiro Lafaiete"
"R$ 129.900,00","Auto Nível Veículos","Jeep Renegade","1.3 Trailhawk T270  Automático 2022","2022/2022","13.000km","Bi-Combustível","Automático","Conselheiro Lafaiete"
"R$ 299.900,00","Fipecar Veículos","Toyota Hilux CD","2.8 8v 2.8 D-4D TURBO DIESEL CD SRX PLUS 4X4 AUTOMÁTICO","2023/2024","36.441km","Diesel","Automático","Conselheiro Lafaiete"
"R$ 93.900,00","Quadrado Veículos","Jeep Compass","2.0 16v 2.0 16V FLEX LONGITUDE AUTOMÁTICO","2018/2018","87.500km","Bi-Combustível","Automático","Conselheiro Lafaiete"
"R$ 269.000,00","Auto Nível Veículos","Toyota Hilux CD","2.8 16v SRX CD 4x4 Diesel Automático 2023","2023/2023","21.000km","Bi-Combustível","Automático","Conselheiro Lafaiete"
"R$ 99.900,00","Imperium Veiculos","Suzuki S-Cross","1.4 S Cross 4 STYLE","2018/2019","108.000km","Bi-Combustível","Automático","Conselheiro Lafaiete"
"R$ 169.900,00","Auto Nível Veículos","Mitsubishi L200","2.4 Triton Sport HPE-S CD Diesel Automático 2020","2020/2020","78.000km","Diesel","Automático","Conselheiro Lafaiete"
"R$ 80.900,00","Fipecar Veículos","Volkswagen Saveiro Cab. Simples","1.6 16v 1.6 MSI ROBUST CS 16V FLEX 2P MANUAL","2023/2024","34.067km","Bi-Combustível","Manual","Conselheiro Lafaiete"
"R$ 127.900,00","Auto Nível Veículos","Toyota Corolla","XEi 2.0  16V Aut.","2021/2022","58.000km","Bi-Combustível","Automático","Conselheiro Lafaiete"
"R$ 96.900,00","Auto Nível Veículos","Fiat Argo","1.3 Drive S-Desing 1.3  Automático 2025","2024/2025","12.000km","Bi-Combustível","Automático","Conselheiro Lafaiete"
"R$ 299.900,00","Auto Nível Veículos","Audi Q3","2.0 SportBack Performance 2.0  Automático 2024","2023/2024","12.000km","Gasolina","Automático","Conselheiro Lafaiete"
"R$ 114.900,00","Marechal Veiculos","Volkswagen Saveiro Cab Dupla","1.6 16v 1.6 MSI EXTREME CD 16V FLEX 2P MANUAL","2024/2025","2.900km","Bi-Combustível","Manual","Conselheiro Lafaiete"
"R$ 84.900,00","Auto Lafaiete","Chevrolet Onix Hatch","1.0 LTZ AUT TURBO","2022/2023","39.000km","Bi-Combustível","Automático","Conselheiro Lafaiete"
"R$ 89.900,00","Imperium Veiculos","Jeep Renegade","Longitude 1.8 4x2  16V Aut.","2021/2021","85.000km","Bi-Combustível","Automático","Conselheiro Lafaiete"
